FIPS,COUNAM,STABBREV,TOTRATE_2020,EVANRATE_2020,BPRTRATE_2020,MPRTRATE_2020,CATHRATE_2020,ORTHRATE_2020,LDSRATE_2020,CJUDRATE_2020,IJUDRATE_2020,OJUDRATE_2020,RJUDRATE_2020,RFRMRATE_2020,MSLMRATE_2020,HINTRATE_2020,MAHBUDRATE_2020,THBUDRATE_2020,VAJBUDRATE_2020
2195,Petersburg Borough,AK,34.84000015,9.569999695,0,15.64999962,2.940000057,0,6.24,,,,,,,,,,
2013,Aleutians East Borough,AK,41.65999985,33.18000031,0,0,0,8.479999542,,,,,,,,,,,
31105,Kimball County,NE,43.77999878,10.84000015,0,15.98999977,13.63000011,0,,,,,,,,,,,
40129,Roger Mills County,OK,85.20999908,70.68000031,0,14.5,0,0,,,,,,,,,,,
46061,Hanson County,SD,46.11000061,16.67000008,0,3.610000134,25.82999992,0,,,,,,,,,,,
48023,Baylor County,TX,96.79999542,59.50999832,0,10.44999981,20.88999939,0,5.95,,,,,,,,,,
8023,Costilla County,CO,36.13000107,0.5699999928,0,0,29.27000046,0,5.72,,,,,,,,,,
20141,Osborne County,KS,51.68000031,19.25,0,20.82999992,11.60000038,0,,,,,,,,,,,
8009,Baca County,CO,25.37999916,15.03000069,0,6.820000172,3.390000105,0,,,,,,,,,,,
16061,Lewis County,ID,52.72000122,16.45000076,0,4.480000496,25.89999962,0,,,,,,,,,,,
29129,Mercer County,MO,80.37999725,71.68000031,0,6.269999981,2.400000095,0,,,,,,,,,,,
30091,Sheridan County,MT,43.20999908,9.079999924,0,17.94000053,10.22999954,0,5.93,,,,,,,,,,
48197,Hardeman County,TX,72.33000183,52.72000122,0,13.77999973,5.75,0,,,,,,,,,,,
20183,Smith County,KS,61.40999985,28.14999962,0,29.45000076,3.809999943,0,,,,,,,,,,,
35003,Catron County,NM,48.13999939,5.889999866,0,0,24.62000084,0,17.55,,,,,,,,,,
17069,Hardin County,IL,38.46999741,30.77000046,0,0.8199999928,6.849999905,0,,,,,,,,,,,
48151,Fisher County,TX,92.36000061,68.01000214,0,9.609999657,14.71000004,0,,,,,,,,,,,
30097,Sweet Grass County,MT,27.95999908,7.130000114,0,11.03999996,4.079999924,0,5.71,,,,,,,,,,
51720,Norton city,VA,47.84999466,36.20999908,5.210000038,2.690000057,3.690000057,0,,,,,,,,,,,
13101,Echols County,GA,15.88000011,14.55000019,0,1.330000043,0,0,,,,,,,,,,,
19003,Adams County,IA,39.04999924,3.75999999,0,29.28999901,5.96999979,0,,,,,,,,,,,
38019,Cavalier County,ND,93.05999756,15.19999981,0,35.84999847,42.00999832,0,,,,,,,,,,,
46085,Lyman County,SD,114.6900024,6.399999619,0,24.61000061,83.45999908,0,,,,,,,,,,,
29103,Knox County,MO,65.02000427,44.86000061,0,9.880000114,10.27999973,0,,,,,,,,,,,
40045,Ellis County,OK,77.31999969,49.04000092,0,22.28000069,6,0,,,,,,,,,,,
17151,Pope County,IL,34.38999939,20.72999954,7.179999828,6.429999828,0,0,,,,,,,,,,,
27077,Lake of the Woods County,MN,61.73000336,6.269999981,0,46.38000107,6.429999828,0,,,,,,,,,,,
20081,Haskell County,KS,63.69000244,32.44000244,0,14.28999996,16.93000031,0,,,,,,,,,,,
28125,Sharkey County,MS,60.12000275,44.38999939,4.789999962,10.14999962,0.7900000215,0,,,,,,,,,,,
46025,Clark County,SD,66.05999756,23.80000114,0,34.81000137,7.449999809,0,,,,,,,,,,,
38081,Sargent County,ND,75.88999939,6.159999847,0,54.62999725,15.10000038,0,,,,,,,,,,,
31029,Chase County,NE,58.2899971,28.02999878,0,13.85000038,16.40999985,0,,,,,,,,,,,
38085,Sioux County,ND,38.81999969,3.279999971,0,11.55000019,17.23999977,0,5.9,,,,,,,,,,
46031,Corson County,SD,54.02000046,2.789999962,0,18.47999954,25.54999924,0,5.92,,,,,,,,,,
27125,Red Lake County,MN,77.19999695,8.690000534,0,26.44999886,42.06000137,0,,,,,,,,,,,
53013,Columbia County,WA,26.84000206,10.82000065,0,3.389999866,6.860000134,0,5.54,,,,,,,,,,
48319,Mason County,TX,78.00999451,30,0,30.53000069,17.47999954,0,,,,,,,,,,,
38103,Wells County,ND,78.06999969,20.80999947,3.519999981,29.22999954,24.51000023,0,,,,,,,,,,,
20093,Kearny County,KS,55.51000214,16.55000114,0,22.84000015,16.12000084,0,,,,,,,,,,,
46045,Edmunds County,SD,64.41000366,23.49000168,0,17.26000023,23.65999985,0,,,,,,,,,,,
38069,Pierce County,ND,77.27999878,7.25,0,32.20999908,30.62999916,0,5.76,,,,,,,,,,
46053,Gregory County,SD,82.00999451,25.42000198,0,17.13000107,38.00999832,0,,,,,,,,,,,
29197,Schuyler County,MO,52.57999802,48.38999939,0,4.170000076,0,0,,,,,,,,,,,
21189,Owsley County,KY,27.54999924,23.25,0,3.410000086,0.8899999857,0,,,,,,,,,,,
20119,Meade County,KS,88.04000092,49.04999924,0,20.63999939,18.35000038,0,,,,,,,,,,,
31175,Valley County,NE,59.81000137,12.94999981,0,17.27000046,29.59000015,0,,,,,,,,,,,
20185,Stafford County,KS,31.38999939,10.96000004,0,17.34000015,3.069999933,0,,,,,,,,,,,
35059,Union County,NM,70.08999634,11.10000038,0,9.590000153,47.97999954,0,,,,,,,,,,,
38045,LaMoure County,ND,66.53999329,22.56999779,0,26.03999901,17.90999985,0,,,,,,,,,,,
31129,Nuckolls County,NE,59.29000092,21.80999947,0,20.62999916,16.78000069,0,,,,,,,,,,,
38025,Dunn County,ND,78.95000458,10.61999989,0,27.46999931,40.31999969,0,,,,,,,,,,,
